ISBN,Book-Title,Book-Author,Publisher,Year-Of-Publication,Image-URL-L
0195153448,Classical Mythology,Mark P. O. Morford,Oxford University Press,2002.0,http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg
0002005018,Clara Callan,Richard Bruce Wright,HarperFlamingo Canada,2001.0,http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg
0060973129,Decision in Normandy,Carlo D'Este,HarperPerennial,1991.0,http://images.amazon.com/images/P/0060973129.01.LZZZZZZZ.jpg
0374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,Farrar Straus Giroux,1999.0,http://images.amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg
0393045218,The Mummies of Urumchi,E. J. W. Barber,W. W. Norton &amp; Company,1999.0,http://images.amazon.com/images/P/0393045218.01.LZZZZZZZ.jpg
0399135782,The Kitchen God's Wife,Amy Tan,Putnam Pub Group,1991.0,http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg
0425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,Berkley Publishing Group,2000.0,http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg
0671870432,PLEADING GUILTY,Scott Turow,Audioworks,1993.0,http://images.amazon.com/images/P/0671870432.01.LZZZZZZZ.jpg
0679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,Random House,1996.0,http://images.amazon.com/images/P/0679425608.01.LZZZZZZZ.jpg
074322678X,Where You'll Find Me: And Other Stories,Ann Beattie,Scribner,2002.0,http://images.amazon.com/images/P/074322678X.01.LZZZZZZZ.jpg
0771074670,Nights Below Station Street,David Adams Richards,Emblem Editions,1988.0,http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg
080652121X,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,Citadel Press,2000.0,http://images.amazon.com/images/P/080652121X.01.LZZZZZZZ.jpg
0887841740,The Middle Stories,Sheila Heti,House of Anansi Press,2004.0,http://images.amazon.com/images/P/0887841740.01.LZZZZZZZ.jpg
1552041778,Jane Doe,R. J. Kaiser,Mira Books,1999.0,http://images.amazon.com/images/P/1552041778.01.LZZZZZZZ.jpg
1558746218,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,Health Communications,1998.0,http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg
1567407781,The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,Brilliance Audio - Trade,1998.0,http://images.amazon.com/images/P/1567407781.01.LZZZZZZZ.jpg
1575663937,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,Kensington Publishing Corp.,1999.0,http://images.amazon.com/images/P/1575663937.01.LZZZZZZZ.jpg
1881320189,Goodbye to the Buttermilk Sky,Julia Oliver,River City Pub,1994.0,http://images.amazon.com/images/P/1881320189.01.LZZZZZZZ.jpg
0440234743,The Testament,John Grisham,Dell,1999.0,http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg
0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,Plume,1994.0,http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg
0609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,Three Rivers Press,1999.0,http://images.amazon.com/images/P/0609804618.01.LZZZZZZZ.jpg
1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,Ryland Peters &amp; Small Ltd,2001.0,http://images.amazon.com/images/P/1841721522.01.LZZZZZZZ.jpg
1879384493,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,J. R. Parrish,Cypress House,2003.0,http://images.amazon.com/images/P/1879384493.01.LZZZZZZZ.jpg
0061076031,Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in),Mary-Kate &amp; Ashley Olsen,HarperEntertainment,2000.0,http://images.amazon.com/images/P/0061076031.01.LZZZZZZZ.jpg
0439095026,Tell Me This Isn't Happening,Robynn Clairday,Scholastic,1999.0,http://images.amazon.com/images/P/0439095026.01.LZZZZZZZ.jpg
0689821166,Flood : Mississippi 1927,Kathleen Duey,Aladdin,1998.0,http://images.amazon.com/images/P/0689821166.01.LZZZZZZZ.jpg
0971880107,Wild Animus,Rich Shapero,Too Far,2004.0,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg
0345402871,Airframe,Michael Crichton,Ballantine Books,1997.0,http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg
0345417623,Timeline,MICHAEL CRICHTON,Ballantine Books,2000.0,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg
0684823802,OUT OF THE SILENT PLANET,C.S. Lewis,Scribner,1996.0,http://images.amazon.com/images/P/0684823802.01.LZZZZZZZ.jpg
0375759778,Prague : A Novel,ARTHUR PHILLIPS,Random House Trade Paperbacks,2003.0,http://images.amazon.com/images/P/0375759778.01.LZZZZZZZ.jpg
0425163091,Chocolate Jesus,Stephan Jaramillo,Berkley Publishing Group,1998.0,http://images.amazon.com/images/P/0425163091.01.LZZZZZZZ.jpg
3404921038,Wie Barney es sieht.,Mordecai Richler,LÃ?Â¼bbe,2002.0,http://images.amazon.com/images/P/3404921038.01.LZZZZZZZ.jpg
3442353866,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,Eleanor Cooney,Goldmann,2001.0,http://images.amazon.com/images/P/3442353866.01.LZZZZZZZ.jpg
